rank,title,gross
1,Avatar,"$2,923,706,026"
2,Avengers: Endgame,"$2,797,501,328"
3,Avatar: The Way of Water,"$2,320,250,281"
4,Titanic,"$2,257,844,554"
5,Ne Zha 2,"$2,214,190,000"
6,Star Wars: The Force Awakens,"$2,068,223,624"
7,Avengers: Infinity War,"$2,048,359,754"
8,Spider-Man: No Way Home,"$1,922,598,800"
9,Inside Out 2,"$1,698,863,816"
10,Jurassic World,"$1,671,537,444"
11,The Lion King,"$1,656,943,394"
12,The Avengers,"$1,518,815,515"
13,Furious 7,"$1,515,341,399"
14,Top Gun: Maverick,"$1,495,696,292"
15,Frozen 2,"$1,450,026,933"
16,Barbie,"$1,447,038,421"
17,Avengers: Age of Ultron,"$1,402,809,540"
18,The Super Mario Bros. Movie,"$1,360,847,665"
19,Black Panther,"$1,347,280,838"
20,Harry Potter and the Deathly Hallows – Part 2,"$1,342,139,727"
21,Deadpool & Wolverine,"$1,338,073,645"
22,Star Wars: The Last Jedi,"$1,332,539,889"
23,Jurassic World: Fallen Kingdom,"$1,308,473,425"
24,Frozen,"$1,290,000,000"
25,Beauty and the Beast,"$1,263,521,126"
26,Incredibles 2,"$1,242,805,359"
27,The Fate of the Furious,"$1,238,764,765"
28,Iron Man 3,"$1,214,811,252"
29,Minions,"$1,159,444,662"
30,Captain America: Civil War,"$1,153,337,496"
31,Aquaman,"$1,148,528,393"
32,The Lord of the Rings: The Return of the King,"$1,147,997,407"
33,Spider-Man: Far From Home,"$1,132,679,685"
34,Captain Marvel,"$1,128,274,794"
35,Transformers: Dark of the Moon,"$1,123,794,079"
36,Skyfall,"$1,108,594,137"
37,Transformers: Age of Extinction,"$1,104,054,072"
38,The Dark Knight Rises,"$1,081,169,825"
39,Joker,"$1,074,458,282"
40,Star Wars: The Rise of Skywalker,"$1,074,144,248"
41,Toy Story 4,"$1,073,394,593"
42,Toy Story 3,"$1,066,970,811"
43,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,747"
44,Moana 2,"$1,059,242,164"
45,Rogue One: A Star Wars Story,"$1,057,420,387"
46,Aladdin,"$1,050,693,953"
47,Star Wars: Episode I – The Phantom Menace,"$1,046,515,409"
48,Pirates of the Caribbean: On Stranger Tides,"$1,045,713,802"
49,Jurassic Park,"$1,037,535,230"
50,Despicable Me 3,"$1,034,800,131"
